Zeitstempel,Wert
,
2018-01-01,3.351149082183838
2018-01-02,3.0190162658691406
2018-01-03,3.6348299980163574
2018-01-04,7.000593662261963
2018-01-05,8.410895347595215
2018-01-06,5.27935266494751
2018-01-07,3.8176066875457764
2018-01-08,2.9997661113739014
2018-01-09,3.6105284690856934
2018-01-10,2.7956032752990723
2018-01-11,2.7589662075042725
2018-01-12,2.4960460662841797
2018-01-13,2.044705629348755
2018-01-14,1.7774642705917358
2018-01-15,2.1286935806274414
2018-01-16,2.7955336570739746
2018-01-17,3.0492849349975586
2018-01-18,2.622117280960083
2018-01-19,3.435678243637085
2018-01-20,2.5686395168304443
2018-01-21,4.191089153289795
2018-01-22,7.262199878692627
2018-01-23,6.117153644561768
2018-01-24,3.922168016433716
2018-01-25,4.020862102508545
2018-01-26,3.0202956199645996
2018-01-27,2.8729851245880127
2018-01-28,2.4961931705474854
2018-01-29,2.2176191806793213
2018-01-30,2.452535390853882
2018-01-31,2.638735771179199
2018-02-01,2.351426124572754
2018-02-02,1.9090124368667603
2018-02-03,1.7432756423950195
2018-02-04,1.5869568586349487
2018-02-05,1.7138506174087524
2018-02-06,1.6986057758331299
2018-02-07,1.5741679668426514
2018-02-08,1.7153215408325195
2018-02-09,1.7087148427963257
2018-02-10,1.6188831329345703
2018-02-11,1.6320650577545166
2018-02-12,1.5278956890106201
2018-02-13,1.1521083116531372
2018-02-14,1.4279696941375732
2018-02-15,1.881608486175537
2018-02-16,3.147260904312134
2018-02-17,3.6784746646881104
2018-02-18,3.132885217666626
2018-02-19,2.347256660461426
2018-02-20,2.192596912384033
2018-02-21,1.7267459630966187
2018-02-22,1.5256145000457764
2018-02-23,1.4290283918380737
2018-02-24,1.4514868259429932
2018-02-25,1.151801586151123
2018-02-26,0.8348780274391174
2018-02-27,0.7906478047370911
2018-02-28,0.8832011818885803
2018-03-01,1.1325637102127075
2018-03-02,1.2607126235961914
2018-03-03,1.404280185699463
2018-03-04,1.6008731126785278
2018-03-05,1.9177775382995605
2018-03-06,1.974836826324463
2018-03-07,2.3003320693969727
2018-03-08,2.427356481552124
2018-03-09,2.9854321479797363
2018-03-10,2.7726824283599854
2018-03-11,2.716600179672241
2018-03-12,3.0396969318389893
2018-03-13,3.2206997871398926
2018-03-14,2.6252601146698
2018-03-15,2.42742657661438
2018-03-16,2.9598493576049805
2018-03-17,2.5411794185638428
2018-03-18,2.4332327842712402
2018-03-19,2.2057838439941406
2018-03-20,1.8624902963638306
2018-03-21,1.7909597158432007
2018-03-22,1.8858619928359985
2018-03-23,2.193027973175049
2018-03-24,2.190608501434326
2018-03-25,2.571535587310791
2018-03-26,2.3630125522613525
2018-03-27,2.3233556747436523
2018-03-28,2.8779232501983643
2018-03-29,3.694265604019165
2018-03-30,2.7173800468444824
2018-03-31,3.0086722373962402
2018-04-01,2.821627378463745
2018-04-02,2.6951823234558105
2018-04-03,3.3373775482177734
2018-04-04,3.364885091781616
2018-04-05,4.525636672973633
2018-04-06,3.733710765838623
2018-04-07,4.052609920501709
2018-04-08,4.465601921081543
2018-04-09,4.529244422912598
2018-04-10,3.4311506748199463
2018-04-11,3.3419244289398193
2018-04-12,3.717869281768799
2018-04-13,3.7710916996002197
2018-04-14,3.91103196144104
2018-04-15,4.046995639801025
2018-04-16,4.345485687255859
2018-04-17,4.3697991371154785
2018-04-18,4.507784366607666
2018-04-19,4.6583356857299805
2018-04-20,4.735372543334961
2018-04-21,4.847012519836426
2018-04-22,4.8804779052734375
2018-04-23,4.94561767578125
2018-04-24,4.802032947540283
2018-04-25,4.755507946014404
2018-04-26,4.947040557861328
2018-04-27,4.767566204071045
2018-04-28,4.692996501922607
2018-04-29,4.7580647468566895
2018-04-30,4.820019245147705
2018-05-01,4.010342597961426
2018-05-02,3.861427068710327
2018-05-03,3.9058077335357666
2018-05-04,4.122365474700928
2018-05-05,4.500551700592041
2018-05-06,4.698746681213379
2018-05-07,4.869879722595215
2018-05-08,4.785795211791992
2018-05-09,4.68256950378418
2018-05-10,4.577795505523682
2018-05-11,4.387276649475098
2018-05-12,4.484090328216553
2018-05-13,4.557863235473633
2018-05-14,4.529630184173584
2018-05-15,4.447693824768066
2018-05-16,4.240860939025879
2018-05-17,4.2097625732421875
2018-05-18,4.195019721984863
2018-05-19,4.289156436920166
2018-05-20,4.264303684234619
2018-05-21,4.168609619140625
2018-05-22,4.225098609924316
2018-05-23,4.385838508605957
2018-05-24,4.2677178382873535
2018-05-25,4.364880084991455
2018-05-26,4.4575676918029785
2018-05-27,4.584192276000977
2018-05-28,4.819823265075684
2018-05-29,5.027937412261963
2018-05-30,5.008082389831543
2018-05-31,4.748106002807617
2018-06-01,4.578195571899414
2018-06-02,4.398441791534424
2018-06-03,4.422745704650879
2018-06-04,4.626201629638672
2018-06-05,4.608190536499023
2018-06-06,4.595819473266602
2018-06-07,4.6438164710998535
2018-06-08,4.590475082397461
2018-06-09,4.5141520500183105
2018-06-10,4.402406215667725
2018-06-11,4.54845666885376
2018-06-12,5.020617485046387
2018-06-13,5.7153191566467285
2018-06-14,4.92174768447876
2018-06-15,4.4460978507995605
2018-06-16,4.265425205230713
2018-06-17,4.178098678588867
2018-06-18,4.132981300354004
2018-06-19,4.137262344360352
2018-06-20,4.150209903717041
2018-06-21,4.17270565032959
2018-06-22,4.26573371887207
2018-06-23,4.156884670257568
2018-06-24,4.004237174987793
2018-06-25,3.8681845664978027
2018-06-26,3.82746958732605
2018-06-27,3.8492867946624756
2018-06-28,3.8924052715301514
2018-06-29,3.8438286781311035
2018-06-30,3.7922286987304688
2018-07-01,3.8336849212646484
2018-07-02,3.886836528778076
2018-07-03,4.228379249572754
2018-07-04,4.113899230957031
2018-07-05,4.15503454208374
2018-07-06,4.143164157867432
2018-07-07,3.8981387615203857
2018-07-08,3.7562415599823
2018-07-09,3.7528252601623535
2018-07-10,3.7536532878875732
2018-07-11,3.720320701599121
2018-07-12,3.6769533157348633
2018-07-13,3.5811080932617188
2018-07-14,3.607028007507324
2018-07-15,3.7726547718048096
2018-07-16,3.6860523223876953
2018-07-17,3.588888645172119
2018-07-18,3.5298564434051514
2018-07-19,3.561803102493286
2018-07-20,3.6698524951934814
2018-07-21,4.073688507080078
2018-07-22,3.7266311645507812
2018-07-23,3.577387571334839
2018-07-24,3.529758930206299
2018-07-25,3.6415884494781494
2018-07-26,3.597707986831665
2018-07-27,3.57975172996521
2018-07-28,3.6863605976104736
2018-07-29,3.610834836959839
2018-07-30,3.5532877445220947
2018-07-31,3.546879291534424
2018-08-01,3.608119487762451
2018-08-02,3.7887537479400635
2018-08-03,3.5827808380126953
2018-08-04,3.5908219814300537
2018-08-05,3.579315185546875
2018-08-06,3.630897045135498
2018-08-07,3.8988637924194336
2018-08-08,3.6005699634552
2018-08-09,3.818864583969116
2018-08-10,3.74562406539917
2018-08-11,3.6042468547821045
2018-08-12,3.4819490909576416
2018-08-13,3.5166823863983154
2018-08-14,3.733492136001587
2018-08-15,3.5860702991485596
2018-08-16,3.4880177974700928
2018-08-17,3.5278518199920654
2018-08-18,3.5538952350616455
2018-08-19,3.4677233695983887
2018-08-20,3.4572432041168213
2018-08-21,3.468817710876465
2018-08-22,3.466749429702759
2018-08-23,3.4723966121673584
2018-08-24,3.78621244430542
2018-08-25,3.669178009033203
2018-08-26,3.4925665855407715
2018-08-27,3.4023196697235107
2018-08-28,3.369680881500244
2018-08-29,3.400196075439453
2018-08-30,3.559288501739502
2018-08-31,3.4882431030273438
2018-09-01,3.4525296688079834
2018-09-02,3.369964122772217
2018-09-03,3.376328229904175
2018-09-04,3.361454963684082
2018-09-05,3.3431646823883057
2018-09-06,3.3927290439605713
2018-09-07,3.390995502471924
2018-09-08,3.36979341506958
2018-09-09,3.3388421535491943
2018-09-10,3.316122055053711
2018-09-11,3.3207759857177734
2018-09-12,3.276069402694702
2018-09-13,3.344296455383301
2018-09-14,3.4373018741607666
2018-09-15,3.3806536197662354
2018-09-16,3.358337163925171
2018-09-17,3.3304102420806885
2018-09-18,3.3106601238250732
2018-09-19,3.326613426208496
2018-09-20,3.3192617893218994
2018-09-21,3.3118793964385986
2018-09-22,3.4160614013671875
2018-09-23,3.312346935272217
2018-09-24,3.850612163543701
2018-09-25,3.4711742401123047
2018-09-26,3.2187013626098633
2018-09-27,3.3610761165618896
2018-09-28,3.3278324604034424
2018-09-29,3.325430154800415
2018-09-30,3.2162232398986816
2018-10-01,2.913469076156616
2018-10-02,2.8070907592773438
2018-10-03,3.212301731109619
2018-10-04,3.2931764125823975
2018-10-05,3.216813802719116
2018-10-06,3.2831366062164307
2018-10-07,3.2796194553375244
2018-10-08,3.284536600112915
2018-10-09,3.2722160816192627
2018-10-10,3.271871328353882
2018-10-11,3.288317918777466
2018-10-12,3.2728521823883057
2018-10-13,3.266357898712158
2018-10-14,3.2556891441345215
2018-10-15,3.2480146884918213
2018-10-16,3.247217893600464
2018-10-17,3.0492770671844482
2018-10-18,3.159632921218872
2018-10-19,2.9770827293395996
2018-10-20,2.8520214557647705
2018-10-21,2.830521821975708
2018-10-22,2.899900436401367
2018-10-23,2.7519044876098633
2018-10-24,2.9541409015655518
2018-10-25,2.82612681388855
2018-10-26,2.839052677154541
2018-10-27,2.3571202754974365
2018-10-28,1.9567351341247559
2018-10-29,1.892995834350586
2018-10-30,1.9918075799942017
2018-10-31,2.0804033279418945
2018-11-01,2.413398504257202
2018-11-02,2.555574417114258
2018-11-03,2.7450807094573975
2018-11-04,2.5578677654266357
2018-11-05,2.349792957305908
2018-11-06,2.285243511199951
2018-11-07,2.3214950561523438
2018-11-08,2.5631041526794434
2018-11-09,2.436260223388672
2018-11-10,2.3886938095092773
2018-11-11,2.7437868118286133
2018-11-12,2.4426441192626953
2018-11-13,2.6755199432373047
2018-11-14,2.7578117847442627
2018-11-15,2.561127185821533
2018-11-16,2.172213554382324
2018-11-17,1.9046874046325684
2018-11-18,1.7510621547698975
2018-11-19,1.4302804470062256
2018-11-20,1.4185926914215088
2018-11-21,1.6509530544281006
2018-11-22,1.8231953382492065
2018-11-23,1.9135886430740356
2018-11-24,2.020616054534912
2018-11-25,1.894757866859436
2018-11-26,1.8468549251556396
2018-11-27,1.7802762985229492
2018-11-28,1.4509552717208862
2018-11-29,1.5905545949935913
2018-11-30,1.8205194473266602
2018-12-01,1.9117004871368408
2018-12-02,2.310903549194336
2018-12-03,4.250180721282959
2018-12-04,4.533017635345459
2018-12-05,2.537959575653076
2018-12-06,2.882322072982788
2018-12-07,2.845329761505127
2018-12-08,2.5139479637145996
2018-12-09,2.8750369548797607
2018-12-10,2.7602899074554443
2018-12-11,1.974044919013977
2018-12-12,1.3947935104370117
2018-12-13,1.4545742273330688
2018-12-14,1.5540153980255127
2018-12-15,1.4232456684112549
2018-12-16,1.7637476921081543
2018-12-17,2.1167612075805664
2018-12-18,1.684653639793396
2018-12-19,1.8412853479385376
2018-12-20,2.074986219406128
2018-12-21,2.4459803104400635
2018-12-22,5.194670677185059
2018-12-23,4.036581039428711
2018-12-24,4.494227409362793
2018-12-25,3.337099552154541
2018-12-26,2.1832354068756104
2018-12-27,1.8557738065719604
2018-12-28,1.7753193378448486
2018-12-29,1.7789405584335327
2018-12-30,1.758405089378357
2018-12-31,1.7317496538162231
